Шаг,NFT lvl1,NFT lvl2,NFT lvl3,Активных NFT lvl1,Активных NFT lvl2,Активных NFT lvl3,Встречи,REWARD_POOL токены,Новые NFT,Стоимость новых NFT,Цена токена
547,28823,2679,231,27838,2563,222,313,484254847.90,70,24100.00,0.000073
548,28885,2680,231,27893,2610,226,294,470222362.64,69,7800.00,0.000063
549,28939,2685,231,27971,2605,227,304,443969506.52,64,10900.00,0.000057
550,28989,2688,231,27991,2584,221,316,434023723.05,56,8300.00,0.000061
551,29034,2691,231,28053,2601,219,281,438790986.02,50,7700.00,0.000062
552,29091,2697,232,28139,2600,219,313,479244017.77,69,22200.00,0.000072
553,29133,2703,232,28158,2617,221,288,456930307.44,52,10600.00,0.000063
554,29183,2708,232,28221,2643,226,288,447497123.25,59,11300.00,0.000058
555,29246,2711,233,28319,2617,228,294,485337661.51,71,19700.00,0.000069
556,29296,2715,233,28349,2624,226,295,460575038.30,56,9200.00,0.000063
557,29353,2720,233,28392,2635,229,294,449507131.43,66,11100.00,0.000059
558,29416,2721,235,28444,2633,229,308,481718016.62,67,27400.00,0.000068
559,29462,2724,235,28445,2658,223,301,452397985.05,52,8800.00,0.000062
560,29506,2732,236,28526,2641,227,298,446716350.85,58,23800.00,0.000061
561,29564,2738,236,28614,2628,225,307,436395880.77,70,12400.00,0.000060
562,29609,2743,236,28588,2656,224,320,445058407.17,54,9900.00,0.000063
563,29653,2746,236,28648,2658,228,287,439770176.69,51,7800.00,0.000059
564,29704,2755,236,28773,2665,230,288,447077096.54,64,14500.00,0.000059
565,29759,2763,238,28823,2690,232,290,491267692.63,69,34800.00,0.000069
566,29820,2766,238,28848,2689,232,313,468211368.52,71,11600.00,0.000063
567,29869,2772,238,28907,2659,234,298,443774914.32,60,11400.00,0.000059
568,29917,2774,238,28980,2672,230,287,438083001.64,54,7200.00,0.000060
569,29970,2783,238,29025,2706,228,292,442368753.34,65,14600.00,0.000060
570,30030,2784,240,29059,2692,228,321,476411262.80,73,29800.00,0.000070
571,30068,2785,241,29078,2677,228,298,445734555.44,42,15000.00,0.000063
572,30124,2789,242,29160,2700,232,290,481082540.31,65,20000.00,0.000069
573,30176,2796,242,29110,2727,235,350,458247214.76,64,12700.00,0.000061
574,30226,2799,244,29148,2717,234,301,480874443.78,59,29300.00,0.000070
575,30276,2803,244,29292,2712,232,311,453145187.39,64,20800.00,0.000063
576,30330,2811,245,29382,2725,240,279,452146406.15,65,24500.00,0.000059
577,30379,2812,245,29456,2735,242,284,440951776.32,53,7100.00,0.000056
578,30430,2816,245,29418,2737,241,323,446289578.61,59,20300.00,0.000059
579,30474,2820,246,29453,2734,241,293,487973442.65,53,19700.00,0.000070
580,30528,2827,246,29566,2730,243,304,469466866.23,68,14000.00,0.000063
581,30582,2830,246,29622,2736,240,297,435595379.53,62,8900.00,0.000057
582,30632,2832,246,29674,2747,238,293,445244308.08,57,7500.00,0.000061
583,30681,2837,246,29730,2758,238,288,438499223.72,58,10300.00,0.000059
584,30728,2843,247,29772,2762,240,295,450381005.55,57,21000.00,0.000060
585,30761,2845,248,29851,2751,240,265,477306424.45,42,16800.00,0.000068
586,30812,2850,248,29948,2761,239,275,456866346.77,63,10800.00,0.000063
587,30857,2855,248,29917,2769,240,307,436242351.73,55,10000.00,0.000058
588,30907,2861,248,29928,2774,242,290,451312679.78,59,11300.00,0.000061
589,30970,2867,248,29981,2785,244,316,441920590.32,72,12600.00,0.000057
590,31030,2871,249,30047,2783,240,298,483814414.08,69,20400.00,0.000071
591,31086,2877,249,30154,2793,244,285,468561886.76,67,22000.00,0.000063
592,31131,2880,250,30164,2793,245,310,442097987.56,54,18900.00,0.000057
593,31193,2886,253,30214,2787,243,304,490632582.57,76,43600.00,0.000073
594,31240,2890,253,30325,2806,248,269,476358275.55,56,19100.00,0.000064
595,31292,2894,253,30319,2810,251,320,449695851.99,57,9300.00,0.000058
596,31350,2899,253,30314,2808,247,313,441453630.72,69,11400.00,0.000059
597,31399,2903,253,30384,2814,247,313,449420986.13,60,9600.00,0.000061
598,31451,2907,253,30442,2821,247,305,442477410.98,62,9800.00,0.000059
599,31486,2910,253,30493,2827,247,294,444569257.41,43,7900.00,0.000059
600,31536,2918,253,30541,2841,251,299,452523498.89,61,13300.00,0.000059
601,31588,2922,253,30608,2844,249,295,445234388.61,59,11300.00,0.000058
602,31633,2928,253,30620,2840,247,320,484624538.17,56,20900.00,0.000071
603,31682,2936,253,30696,2834,251,290,465140320.58,63,13500.00,0.000062
604,31733,2940,254,30829,2816,251,294,446043524.77,62,20600.00,0.000059
